entorno,consulta,run,tiempo_ms
cluster,Q1_pk_lookup,1,3.00
cluster,Q1_pk_lookup,2,3.00
cluster,Q1_pk_lookup,3,778.00
cluster,Q1_pk_lookup,4,6.00
cluster,Q1_pk_lookup,5,4.00
cluster,Q2_rango_zona_fecha,1,7.00
cluster,Q2_rango_zona_fecha,2,7.00
cluster,Q2_rango_zona_fecha,3,6.00
cluster,Q2_rango_zona_fecha,4,7.00
cluster,Q2_rango_zona_fecha,5,88.00
cluster,Q3_agregacion_cruzando_zonas,1,10.00
cluster,Q3_agregacion_cruzando_zonas,2,14.00
cluster,Q3_agregacion_cruzando_zonas,3,15.00
cluster,Q3_agregacion_cruzando_zonas,4,12.00
cluster,Q4_groupby_sla,1,25.00
cluster,Q4_groupby_sla,2,27.00
cluster,Q4_groupby_sla,3,24.00
cluster,Q4_groupby_sla,4,259.00
cluster,Q5_join_tecnicos,1,28.00
cluster,Q5_join_tecnicos,2,28.00
cluster,Q5_join_tecnicos,3,25.00
cluster,Q5_join_tecnicos,4,33.00
single,Q1_pk_lookup,1,2.00
single,Q1_pk_lookup,2,3.00
single,Q1_pk_lookup,3,2.00
single,Q1_pk_lookup,4,2.00
single,Q1_pk_lookup,5,1.00
single,Q2_rango_zona_fecha,1,17.00
single,Q2_rango_zona_fecha,2,20.00
single,Q2_rango_zona_fecha,3,8.00
single,Q2_rango_zona_fecha,4,11.00
single,Q2_rango_zona_fecha,5,7.00
single,Q3_agregacion_cruzando_zonas,1,19.00
single,Q3_agregacion_cruzando_zonas,2,20.00
single,Q3_agregacion_cruzando_zonas,3,12.00
single,Q3_agregacion_cruzando_zonas,4,14.00
single,Q3_agregacion_cruzando_zonas,5,12.00
single,Q4_groupby_sla,1,69.00
single,Q4_groupby_sla,2,1600.00
single,Q4_groupby_sla,3,30.00
single,Q4_groupby_sla,4,33.00
single,Q4_groupby_sla,5,34.00
single,Q5_join_tecnicos,1,48.00
single,Q5_join_tecnicos,2,29.00
single,Q5_join_tecnicos,3,28.00
single,Q5_join_tecnicos,4,30.00
single,Q5_join_tecnicos,5,32.00
