escenario,modo,repeticion,zone,incidencias_efectivas,tickets_averia,tickets_en_incidencia_elegida,interseccion,precision,exhaustividad
Esc-2_averia_masiva,c0,1,QUEVEDO_CENTRO,20,20,1,1,1.0,0.05
Esc-2_averia_masiva,c0,2,QUEVEDO_CENTRO,20,20,1,1,1.0,0.05
Esc-2_averia_masiva,c0,3,QUEVEDO_CENTRO,20,20,1,1,1.0,0.05
Esc-2_averia_masiva,c0,4,QUEVEDO_CENTRO,20,20,1,1,1.0,0.05
Esc-2_averia_masiva,c0,5,QUEVEDO_CENTRO,20,20,1,1,1.0,0.05
Esc-3_averia_mayor,c0,1,QUEVEDO_CENTRO,60,60,1,1,1.0,0.0167
Esc-3_averia_mayor,c0,2,QUEVEDO_CENTRO,60,60,1,1,1.0,0.0167
Esc-3_averia_mayor,c0,3,QUEVEDO_CENTRO,60,60,1,1,1.0,0.0167
Esc-3_averia_mayor,c0,4,QUEVEDO_CENTRO,60,60,1,1,1.0,0.0167
Esc-3_averia_mayor,c0,5,QUEVEDO_CENTRO,60,60,1,1,1.0,0.0167
Esc-4_dos_averias_simultaneas,c0,1,QUEVEDO_CENTRO,20,20,1,1,1.0,0.05
Esc-4_dos_averias_simultaneas,c0,1,QUEVEDO_NORTE,20,20,1,1,1.0,0.05
Esc-4_dos_averias_simultaneas,c0,2,QUEVEDO_CENTRO,20,20,1,1,1.0,0.05
Esc-4_dos_averias_simultaneas,c0,2,QUEVEDO_NORTE,20,20,1,1,1.0,0.05
Esc-4_dos_averias_simultaneas,c0,3,QUEVEDO_CENTRO,20,20,1,1,1.0,0.05
Esc-4_dos_averias_simultaneas,c0,3,QUEVEDO_NORTE,20,20,1,1,1.0,0.05
Esc-4_dos_averias_simultaneas,c0,4,QUEVEDO_CENTRO,20,20,1,1,1.0,0.05
Esc-4_dos_averias_simultaneas,c0,4,QUEVEDO_NORTE,20,20,1,1,1.0,0.05
Esc-4_dos_averias_simultaneas,c0,5,QUEVEDO_CENTRO,20,20,1,1,1.0,0.05
Esc-4_dos_averias_simultaneas,c0,5,QUEVEDO_NORTE,20,20,1,1,1.0,0.05
Esc-2_averia_masiva,c1,1,QUEVEDO_CENTRO,1,20,20,20,1.0,1.0
Esc-2_averia_masiva,c1,2,QUEVEDO_CENTRO,1,20,20,20,1.0,1.0
Esc-2_averia_masiva,c1,3,QUEVEDO_CENTRO,1,20,20,20,1.0,1.0
Esc-2_averia_masiva,c1,4,QUEVEDO_CENTRO,1,20,20,20,1.0,1.0
Esc-2_averia_masiva,c1,5,QUEVEDO_CENTRO,1,20,20,20,1.0,1.0
