modo,repeticion,tiempo_total_s,descartada_calentamiento_enfriamiento
baseline,1,46.4007,si
baseline,2,24.5875,no
baseline,3,32.6491,no
baseline,4,32.4095,no
baseline,5,24.2414,no
baseline,6,21.6376,no
baseline,7,23.2593,no
baseline,8,21.5834,no
baseline,9,22.979,no
baseline,10,34.4813,si
N1,1,364.5683,si
N1,2,228.0546,no
N1,3,244.9999,no
N1,4,236.2753,no
N1,5,232.239,no
N1,6,232.3474,no
N1,7,234.1967,no
N1,8,241.6531,no
N1,9,231.9953,no
N1,10,223.7479,si
N2,1,164.3877,si
N2,2,166.822,no
N2,3,163.5003,no
N2,4,164.6631,no
N2,5,161.6568,no
N2,6,160.5834,no
N2,7,157.0697,no
N2,8,167.8593,no
N2,9,168.3468,no
N2,10,161.9146,si
N4,1,141.8512,si
N4,2,139.5124,no
N4,3,132.7238,no
N4,4,139.9999,no
N4,5,135.0853,no
N4,6,150.0772,no
N4,7,137.768,no
N4,8,136.7089,no
N4,9,139.488,no
N4,10,135.8743,si
N8,1,143.1343,si
N8,2,131.1909,no
N8,3,132.5397,no
N8,4,125.7239,no
N8,5,131.5017,no
N8,6,133.5133,no
N8,7,126.7728,no
N8,8,120.6243,no
N8,9,133.0076,no
N8,10,130.4672,si
